ip,as_owner,country,reputation,asn,malicious,suspicious,undetected,harmless,status
37.232.173.233,PJSC MegaFon,RU,0,12714.0,0,0,90,0,unknown
86.120.211.236,RCS & RDS,RO,0,8708.0,0,0,90,0,unknown
173.194.112.13,GOOGLE,US,0,15169.0,0,0,90,0,unknown
68.66.82.128,PLATEAU,US,0,21782.0,0,0,90,0,unknown
50.18.188.27,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
68.229.163.135,ASN-CXA-ALL-CCI-22773-RDC,US,0,22773.0,0,0,90,0,unknown
185.63.147.10,,US,0,,0,0,34,56,benign
77.6.214.58,Telefonica Germany,DE,0,6805.0,0,0,90,0,unknown
164.215.110.6,,GB,0,,0,0,90,0,unknown
54.225.160.88,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
158.181.209.203,Mega-Line Ltd.,KG,0,41750.0,0,0,90,0,unknown
216.58.213.104,GOOGLE,US,0,15169.0,0,0,23,67,benign
23.0.39.242,Akamai International B.V.,US,0,20940.0,0,0,90,0,unknown
5.39.76.37,OVH SAS,FR,0,16276.0,0,0,90,0,unknown
52.5.160.47,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
216.58.208.67,GOOGLE,US,0,15169.0,0,0,29,61,benign
65.55.223.23,MICROSOFT-CORP-MSN-AS-BLOCK,US,0,8075.0,0,0,90,0,unknown
173.194.116.60,GOOGLE,US,0,15169.0,0,0,90,0,unknown
41.58.20.16,SWIFTNG-ASN,NG,0,36923.0,0,0,90,0,unknown
88.221.15.88,Akamai International B.V.,NL,0,20940.0,0,0,90,0,unknown
52.71.139.178,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
196.216.220.2,MICG,SL,0,327903.0,0,0,90,0,unknown
23.65.41.138,AKAMAI-AS,US,0,16625.0,0,0,90,0,unknown
80.234.32.202,Rostelecom,RU,0,12389.0,0,0,90,0,unknown
90.154.78.235,Rostelecom,RU,0,42610.0,0,0,90,0,unknown
74.125.202.157,GOOGLE,US,0,15169.0,0,0,90,0,unknown
177.73.167.32,SM Networks,BR,0,262571.0,0,0,90,0,unknown
202.9.94.100,Squiz Pty Ltd,AU,0,55532.0,0,0,90,0,unknown
79.114.70.97,RCS & RDS,RO,0,8708.0,0,0,90,0,unknown
79.116.218.95,Digi Spain Telecom S.l.u.,ES,0,57269.0,0,0,90,0,unknown
184.72.234.198,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
104.16.26.235,CLOUDFLARENET,,0,13335.0,0,0,25,65,benign
52.19.114.209,AMAZON-02,IE,0,16509.0,0,0,90,0,unknown
52.29.212.156,AMAZON-02,DE,0,16509.0,0,0,90,0,unknown
52.20.16.126,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
216.58.208.226,GOOGLE,US,0,15169.0,0,0,23,67,benign
46.166.188.240,NForce Entertainment B.V.,NL,0,43350.0,0,0,43,47,unknown
23.235.46.175,,US,0,,0,0,90,0,unknown
92.42.227.181,,DE,0,,0,0,90,0,unknown
191.222.152.41,V tal,BR,0,8167.0,0,0,90,0,unknown
76.115.229.246,COMCAST-7922,US,0,7922.0,0,0,90,0,unknown
216.58.210.46,GOOGLE,US,0,15169.0,0,0,24,66,benign
82.166.181.201,Cellcom Fixed Line Communication L.P,IL,0,1680.0,0,0,90,0,unknown
77.123.31.180,Limited Liability Company KYIVSKI TELEKOMUNIKATSIYNI MEREZHI,UA,0,25229.0,0,0,90,0,unknown
46.166.188.209,NForce Entertainment B.V.,NL,0,43350.0,0,0,90,0,unknown
31.13.92.3,FACEBOOK,IE,0,32934.0,0,0,34,56,benign
199.59.149.243,TWITTER,US,0,13414.0,0,0,90,0,unknown
23.222.28.26,Akamai International B.V.,US,0,20940.0,0,0,90,0,unknown
52.0.128.127,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
5.166.57.17,JSC ER-Telecom Holding,RU,0,51604.0,0,0,90,0,unknown
54.169.125.186,AMAZON-02,SG,0,16509.0,0,0,24,66,benign
86.18.117.12,Virgin Media,GB,0,5089.0,0,0,90,0,unknown
175.101.87.66,Excellmedia,IN,0,17754.0,0,0,90,0,unknown
190.179.202.203,Telefonica de Argentina,AR,0,22927.0,0,0,90,0,unknown
5.19.138.229,JSC ER-Telecom Holding,RU,0,41733.0,0,0,90,0,unknown
201.215.8.105,VTR BANDA ANCHA S.A.,CL,0,22047.0,0,0,90,0,unknown
74.125.226.42,GOOGLE,US,0,15169.0,0,0,90,0,unknown
104.16.24.35,CLOUDFLARENET,,0,13335.0,0,0,33,57,benign
74.125.136.149,GOOGLE,US,0,15169.0,0,0,23,67,benign
64.201.244.58,PAXIO-SFBA,US,0,36734.0,0,0,90,0,unknown
37.187.17.185,OVH SAS,FR,0,16276.0,0,0,90,0,unknown
186.212.111.138,TELEFONICA BRASIL S.A,BR,0,18881.0,0,0,90,0,unknown
173.194.112.59,GOOGLE,US,0,15169.0,0,0,90,0,unknown
46.33.203.117,Crnogorski Telekom a.d.Podgorica,ME,0,8585.0,0,0,90,0,unknown
54.213.184.64,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
54.239.192.91,,US,0,,0,0,90,0,unknown
192.132.33.31,BIDTELLECT,US,0,18568.0,0,0,90,0,unknown
189.183.252.250,UNINET,MX,0,8151.0,0,0,90,0,unknown
54.209.164.1,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
173.194.112.100,GOOGLE,US,0,15169.0,0,0,90,0,unknown
195.50.84.222,LEVEL3,GB,0,3356.0,0,0,90,0,unknown
46.139.248.99,Magyar Telekom plc.,HU,0,5483.0,0,0,90,0,unknown
52.6.117.70,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
91.152.43.162,Elisa Oyj,FI,0,719.0,0,0,90,0,unknown
74.125.170.208,GOOGLE,US,0,15169.0,0,0,90,0,unknown
88.172.102.147,Free SAS,FR,0,12322.0,0,0,90,0,unknown
54.192.131.14,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
79.36.122.165,Telecom Italia,IT,0,3269.0,0,0,90,0,unknown
185.31.19.84,,GB,0,,0,0,90,0,unknown
109.201.133.100,NForce Entertainment B.V.,NL,-18,43350.0,8,4,18,60,benign
103.57.243.6,INDINET SERVICE PRIVATE LIMITED,IN,0,132115.0,0,0,90,0,unknown
54.243.176.238,AMAZON-AES,US,0,14618.0,0,0,30,60,benign
186.89.86.142,"CANTV Servicios, Venezuela",VE,0,8048.0,0,0,90,0,unknown
23.32.99.182,AKAMAI-AS,DE,0,16625.0,0,0,90,0,unknown
72.201.93.15,ASN-CXA-ALL-CCI-22773-RDC,US,0,22773.0,0,0,90,0,unknown
54.192.202.102,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
83.169.59.64,PlusServer GmbH,DE,0,61157.0,0,0,26,64,benign
37.252.162.52,ASN-APPNEX,NL,0,29990.0,0,0,26,64,benign
173.194.112.105,GOOGLE,US,0,15169.0,0,0,90,0,unknown
175.157.155.167,Dialog Axiata PLC.,LK,0,18001.0,0,0,90,0,unknown
216.58.211.98,GOOGLE,US,0,15169.0,0,0,23,67,benign
10.152.152.11,,,0,,0,0,25,65,benign
23.66.18.162,AKAMAI-AS,NL,0,16625.0,0,0,90,0,unknown
41.107.5.206,Telecom Algeria,DZ,0,36947.0,0,0,90,0,unknown
54.192.98.128,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
69.51.220.14,ASN01-SOGE,CA,0,4540.0,0,0,90,0,unknown
173.194.112.12,GOOGLE,US,0,15169.0,0,0,90,0,unknown
79.100.5.247,Vivacom Bulgaria EAD,BG,0,8866.0,0,0,90,0,unknown
113.199.248.118,"Nepal Telecommunications Corporation, Internet Services",NP,0,23752.0,0,0,31,59,benign
173.194.116.185,GOOGLE,US,0,15169.0,0,0,90,0,unknown
67.180.216.245,COMCAST-7922,US,0,7922.0,0,0,90,0,unknown
31.186.231.25,Unitas Global Ltd,GB,0,15570.0,0,0,90,0,unknown
92.253.4.100,Jordan Data Communications Company LLC,JO,0,8376.0,0,0,90,0,unknown
216.52.92.112,INTERNAP-BLK3,US,0,13789.0,0,0,90,0,unknown
23.235.37.134,FASTLY,US,0,54113.0,0,0,89,1,unknown
54.192.76.55,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
2.22.9.114,AKAMAI-AS,IT,0,16625.0,0,0,90,0,unknown
82.53.34.45,Telecom Italia,IT,0,3269.0,0,0,90,0,unknown
87.222.53.226,Orange Espagne SA,ES,0,12479.0,0,0,90,0,unknown
105.155.105.187,MT-MPLS,MA,0,36903.0,0,0,90,0,unknown
54.243.29.51,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
64.233.177.120,GOOGLE,US,0,15169.0,0,0,29,61,benign
92.137.152.250,Orange,FR,0,3215.0,0,0,90,0,unknown
212.120.211.242,Hamara System Tabriz Engineering Company,IR,0,47262.0,0,0,90,0,unknown
31.3.193.25,Private Joint Stock Company Datagroup,UA,0,197743.0,0,0,90,0,unknown
197.44.174.96,TE Data,EG,0,8452.0,0,0,90,0,unknown
23.235.43.68,,DE,0,,0,0,90,0,unknown
46.166.186.217,NForce Entertainment B.V.,NL,0,43350.0,0,0,90,0,unknown
117.248.129.232,National Internet Backbone,IN,0,9829.0,0,0,90,0,unknown
95.211.174.103,LeaseWeb Netherlands B.V.,NL,0,60781.0,0,0,90,0,unknown
50.18.250.175,AMAZON-02,US,0,16509.0,0,0,26,64,benign
81.17.20.66,Private Layer INC,CH,0,51852.0,2,0,24,64,benign
54.182.216.8,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
58.107.1.133,Microplex PTY LTD,AU,0,4804.0,0,0,90,0,unknown
37.48.116.49,LeaseWeb Netherlands B.V.,NL,0,60781.0,0,0,90,0,unknown
179.111.220.134,TELEFONICA BRASIL S.A,BR,0,27699.0,0,0,90,0,unknown
173.194.40.132,GOOGLE,US,0,15169.0,0,0,24,66,benign
173.241.240.221,,US,0,,0,0,90,0,unknown
94.51.12.67,Rostelecom,RU,0,12389.0,0,0,90,0,unknown
106.186.114.224,KDDI CORPORATION,JP,0,2516.0,0,0,90,0,unknown
187.171.183.49,UNINET,MX,0,8151.0,0,0,90,0,unknown
188.93.174.114,LU-CIX Management GIE,LU,0,210834.0,0,0,90,0,unknown
162.212.130.108,A2HOSTING,US,0,55293.0,0,0,90,0,unknown
176.36.4.125,Lanet Network Ltd,UA,0,39608.0,0,0,90,0,unknown
54.174.124.158,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
95.101.1.64,AKAMAI-AS,GB,0,16625.0,0,0,90,0,unknown
72.207.234.107,ASN-CXA-ALL-CCI-22773-RDC,US,0,22773.0,0,0,90,0,unknown
93.123.22.36,OHOST LLC,BG,0,9028.0,0,0,90,0,unknown
173.194.112.32,GOOGLE,US,0,15169.0,0,0,90,0,unknown
124.43.73.42,Sri Lanka Telecom Internet,LK,0,9329.0,0,0,90,0,unknown
54.221.224.19,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
173.194.40.131,GOOGLE,US,0,15169.0,0,0,24,66,benign
82.147.153.2,A1 Bulgaria EAD,BG,0,8717.0,2,0,22,66,benign
52.1.153.245,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
23.21.148.71,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
117.216.240.133,National Internet Backbone,IN,0,9829.0,0,0,90,0,unknown
217.147.88.106,Iomart Cloud Services Limited,GB,0,20860.0,0,0,90,0,unknown
186.46.206.56,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP,EC,0,28006.0,0,0,90,0,unknown
104.20.5.77,CLOUDFLARENET,,0,13335.0,0,0,90,0,unknown
64.233.184.149,GOOGLE,US,0,15169.0,0,0,90,0,unknown
151.252.200.32,5KOM OOD,BG,0,197897.0,0,0,90,0,unknown
104.155.70.73,GOOGLE-CLOUD-PLATFORM,BE,0,396982.0,0,0,90,0,unknown
41.44.247.193,TE Data,EG,0,8452.0,0,0,90,0,unknown
173.194.112.11,GOOGLE,US,0,15169.0,0,0,90,0,unknown
79.140.139.13,Viatel Availability Services Limited,IE,0,29650.0,0,0,90,0,unknown
62.67.193.42,LEVEL3,GB,0,3356.0,0,0,90,0,unknown
52.21.118.252,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
93.184.221.96,EDGECAST,GB,0,15133.0,0,0,25,65,benign
52.16.223.226,AMAZON-02,IE,0,16509.0,0,0,90,0,unknown
98.138.243.53,YAHOO-NE1,US,0,36646.0,0,0,90,0,unknown
217.69.45.108,Elite Limited,GB,0,29611.0,0,0,90,0,unknown
42.49.142.252,CHINA UNICOM China169 Backbone,CN,0,4837.0,0,0,90,0,unknown
197.224.138.51,MauritiusTelecom,MU,0,23889.0,0,0,90,0,unknown
54.192.28.244,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
179.183.74.232,TELEFONICA BRASIL S.A,BR,0,18881.0,0,0,90,0,unknown
45.117.2.97,Adarsh Infosolutions,IN,0,133674.0,0,0,90,0,unknown
37.252.163.69,ASN-APPNEX,NL,0,29990.0,0,0,90,0,unknown
188.32.133.179,Rostelecom,RU,0,42610.0,0,0,90,0,unknown
92.123.226.227,Akamai International B.V.,NL,0,20940.0,0,0,90,0,unknown
64.233.165.95,GOOGLE,US,-1,15169.0,0,0,26,64,benign
63.215.202.68,Conversant LLC,NL,0,41041.0,0,0,90,0,unknown
216.58.222.3,GOOGLE,US,0,15169.0,0,0,25,65,benign
74.125.136.82,GOOGLE,US,0,15169.0,0,0,26,64,benign
54.76.50.126,AMAZON-02,IE,0,16509.0,0,0,90,0,unknown
46.49.0.168,Magticom Ltd.,GE,0,16010.0,0,0,90,0,unknown
128.68.211.235,PVimpelCom,RU,0,8402.0,0,0,90,0,unknown
217.81.9.6,Deutsche Telekom AG,DE,0,3320.0,0,0,90,0,unknown
46.0.168.68,JSC ER-Telecom Holding,RU,0,34533.0,0,0,90,0,unknown
92.122.222.240,Akamai International B.V.,NL,0,20940.0,0,0,90,0,unknown
116.75.66.96,Hathway IP Over Cable Internet,IN,0,17488.0,0,0,90,0,unknown
188.173.211.108,Nextgen Communications Srl,RO,0,48161.0,0,0,90,0,unknown
207.171.162.173,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
95.101.246.111,AKAMAI-AS,GB,0,16625.0,0,0,90,0,unknown
2.22.22.75,Akamai International B.V.,NL,0,20940.0,0,0,90,0,unknown
92.42.227.57,,DE,0,,0,0,90,0,unknown
114.109.19.176,True Online,TH,0,17552.0,0,0,27,63,benign
41.141.90.216,MT-MPLS,MA,0,36903.0,0,0,90,0,unknown
79.195.171.185,Deutsche Telekom AG,DE,0,3320.0,0,0,90,0,unknown
134.249.247.16,Kyivstar PJSC,UA,0,15895.0,0,0,90,0,unknown
37.204.74.149,Rostelecom,RU,0,42610.0,0,0,90,0,unknown
212.231.9.146,Xtra Telecom S.A.,ES,0,15704.0,0,0,90,0,unknown
74.125.206.95,GOOGLE,US,0,15169.0,0,0,22,68,benign
187.41.129.236,V tal,BR,0,7738.0,0,0,90,0,unknown
37.157.2.14,Adform A/S,DK,0,198622.0,0,0,90,0,unknown
74.125.136.147,GOOGLE,US,0,15169.0,0,0,90,0,unknown
123.236.200.201,,IN,0,,0,0,90,0,unknown
91.93.106.30,Superonline Iletisim Hizmetleri A.S.,TR,0,34984.0,0,0,90,0,unknown
54.239.221.178,,US,0,,0,0,26,64,benign
84.51.126.118,Iskratelecom CJSC,RU,0,29124.0,0,0,90,0,unknown
37.252.162.81,ASN-APPNEX,NL,0,29990.0,0,0,90,0,unknown
62.67.193.75,LEVEL3,GB,0,3356.0,0,0,90,0,unknown
84.3.15.107,Magyar Telekom plc.,HU,0,5483.0,0,0,90,0,unknown
54.239.18.49,AMAZON-02,US,0,16509.0,0,0,25,65,benign
205.218.48.178,CENTURYLINK-LEGACY-SAVVIS,US,0,3561.0,0,0,90,0,unknown
82.183.27.192,Telenor Norge AS,SE,0,2119.0,0,0,90,0,unknown
77.72.146.172,Signet B.V.,NL,0,20857.0,0,0,90,0,unknown
89.180.39.115,"Nos Comunicacoes, S.A.",PT,0,2860.0,0,0,90,0,unknown
185.67.177.76,Kujtesa Net Sh.p.k.,,0,29170.0,0,0,89,1,unknown
41.66.5.65,ORANGE-COTE-IVOIRE,CI,0,29571.0,0,0,90,0,unknown
185.38.29.193,iShack SAL,LB,0,43056.0,0,0,90,0,unknown
41.161.13.226,Neotel,ZA,0,36937.0,0,0,90,0,unknown
2.228.69.84,Fastweb,IT,0,12874.0,0,0,90,0,unknown
77.70.88.176,A1 Bulgaria EAD,BG,0,35141.0,0,0,90,0,unknown
173.194.116.92,GOOGLE,US,0,15169.0,0,0,90,0,unknown
109.201.154.157,NForce Entertainment B.V.,NL,0,43350.0,0,0,90,0,unknown
2.21.243.50,Akamai International B.V.,NL,0,20940.0,0,0,26,64,benign
175.156.12.125,MobileOne Ltd. MobileInternet Service Provider Singapore,SG,0,4773.0,0,0,90,0,unknown
197.77.34.17,MTN Business Solutions,ZA,0,16637.0,0,0,90,0,unknown
64.233.184.95,GOOGLE,US,0,15169.0,0,0,24,66,benign
188.125.82.57,Yahoo-UK Limited,IE,0,34010.0,0,0,90,0,unknown
69.50.70.8,ACT2000,AG,0,19246.0,0,0,32,58,benign
189.58.59.67,TELEFONICA BRASIL S.A,BR,0,18881.0,0,0,90,0,unknown
52.18.136.238,AMAZON-02,IE,0,16509.0,0,0,90,0,unknown
84.209.187.86,Telia Norge AS,NO,0,41164.0,0,0,90,0,unknown
54.192.198.212,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
106.187.52.168,KDDI CORPORATION,JP,0,2516.0,0,0,90,0,unknown
51.255.15.132,OVH SAS,FR,0,16276.0,0,0,90,0,unknown
212.90.60.255,Scientific-Production Enterprise Information Technologies Ltd,UA,0,48239.0,0,0,90,0,unknown
23.222.28.66,Akamai International B.V.,US,0,20940.0,0,0,25,65,benign
212.186.122.45,T-Mobile Austria GmbH,AT,0,8412.0,0,0,90,0,unknown
95.97.211.145,Vodafone Libertel B.V.,NL,0,33915.0,0,0,90,0,unknown
216.58.198.194,GOOGLE,US,0,15169.0,0,0,25,65,benign
80.252.91.25,Equinix (EMEA) Acquisition Enterprises B.V.,NL,0,15830.0,0,0,27,63,benign
178.47.136.166,Rostelecom,RU,0,12389.0,0,0,90,0,unknown
173.194.112.70,GOOGLE,US,0,15169.0,0,0,25,65,benign
5.206.4.44,Intersvyaz-2 JSC,RU,0,8369.0,0,0,90,0,unknown
178.217.185.238,Hosteam S.c. Tomasz Groszewski Bartosz Waszak Lukasz Groszewski,PL,0,51290.0,0,0,90,0,unknown
41.130.5.10,LINKdotNET,EG,0,24863.0,0,0,90,0,unknown
178.34.158.78,Miranda-Media Ltd,UA,0,201776.0,0,1,26,63,benign
184.169.177.160,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
74.125.21.94,GOOGLE,US,0,15169.0,0,0,24,66,benign
212.109.29.170,Limited Company Svyazservice,RU,0,42387.0,0,0,90,0,unknown
95.159.94.143,Seven Net Layers for General Trading & Information Technology LTD.,IQ,0,51018.0,0,0,90,0,unknown
54.230.228.31,,US,0,,0,0,34,56,benign
5.39.39.171,OVH SAS,FR,0,16276.0,1,0,23,66,benign
31.186.225.24,CFN-SERVICES,GB,0,393954.0,0,0,27,63,benign
54.240.190.214,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
31.13.90.6,FACEBOOK,BR,0,32934.0,0,0,41,49,unknown
54.93.194.19,AMAZON-02,DE,0,16509.0,0,0,90,0,unknown
216.58.210.13,GOOGLE,US,0,15169.0,0,0,40,50,unknown
186.18.14.218,Telecentro S.A.,AR,0,27747.0,0,0,90,0,unknown
88.195.218.14,Telia Finland Oyj,FI,0,1759.0,0,0,90,0,unknown
178.175.90.50,Telekomi i Kosoves SH.A.,,0,8661.0,2,0,25,63,benign
37.252.162.156,ASN-APPNEX,NL,0,29990.0,0,0,90,0,unknown
49.228.198.196,AIS Fibre,TH,0,133481.0,2,0,24,64,benign
79.116.155.165,Digi Spain Telecom S.l.u.,ES,0,57269.0,0,0,90,0,unknown
188.230.179.24,"T-2, d.o.o.",SI,0,34779.0,0,0,90,0,unknown
104.244.43.236,FASTLY,US,0,54113.0,0,0,26,64,benign
173.194.112.40,GOOGLE,US,0,15169.0,0,0,90,0,unknown
216.58.208.77,GOOGLE,US,0,15169.0,0,0,30,60,benign
104.96.2.18,Akamai International B.V.,US,0,20940.0,0,0,90,0,unknown
23.23.158.254,AMAZON-AES,US,0,14618.0,0,0,90,0,unknown
181.188.191.34,Telefonica Celular de Bolivia S.A.,BO,0,27882.0,0,0,90,0,unknown
185.52.183.249,Bredband2 AB,SE,0,29518.0,0,0,90,0,unknown
104.40.141.105,MICROSOFT-CORP-MSN-AS-BLOCK,NL,0,8075.0,0,0,90,0,unknown
194.135.155.18,Baku Telephone Communication LLC,AZ,0,28787.0,0,0,90,0,unknown
92.122.214.203,Akamai International B.V.,DE,0,20940.0,0,0,90,0,unknown
103.248.13.119,InterCloud ltd,BD,0,58923.0,0,0,90,0,unknown
124.41.201.48,WorldLink Communications Pvt Ltd,NP,0,17501.0,0,0,90,0,unknown
68.35.139.171,COMCAST-7922,US,0,7922.0,0,0,90,0,unknown
216.58.217.194,GOOGLE,US,0,15169.0,0,0,25,65,benign
54.192.31.150,AMAZON-02,US,0,16509.0,0,0,90,0,unknown
